our_deck \ subfamily (win_rate),metal_ex_zacian_ramp,water_kyogre_abomasnow_maxbelt,mega_lucario_ex_tempo,mega_kangaskhan_energy_stack,dragapult_ex,lightning_bellibolt,weighted_meta_score
mega_venusaur_tank_typed35,0.3333,0.6667,0.6667,0.5,0.8333,0.5,0.58
mega_charizard_x_burst_typed35,0.3333,0.6667,0.8333,0.3333,0.6667,0.6667,0.6
raging_bolt_ogerpon_basic_aggro_typed35,0.3333,0.8333,0.6667,0.6667,0.5,0.3333,0.5733
mono_lightning_miraidon_easy_typed35,0.6667,0.5,0.3333,0.5,0.5,0.3333,0.4733
diamond_toolbox_diancie_typed35,0.5,0.5,0.5,0.8333,0.3333,0.5,0.52
water_basic_density_v1_typed35,0.3333,0.3333,0.3333,0.8333,0.6667,0.5,0.4533
dragapult_spread_control_typed35,0.5,0.3333,0.6667,0.5,0.5,0.6667,0.5267
mega_gardevoir_psychic_ramp_typed35,0.6667,0.6667,0.5,0.1667,0.6667,0.6667,0.5667
water_core_reference_typed35,0.6667,0.5,0.3333,0.3333,0.8333,0.6667,0.5333
