our_deck \ subfamily (win_rate),metal_ex_zacian_ramp,water_kyogre_abomasnow_maxbelt,mega_lucario_ex_tempo,mega_kangaskhan_energy_stack,dragapult_ex,lightning_bellibolt,weighted_meta_score
league_water_anti_disruption_pivot_v1,0.5,0.8333,0.5,0.8333,—,—,0.6403
league_dragapult_v1_search_only,0.5,0.8333,0.8333,0.3333,0.6667,—,0.6666
core_pilot_water_v2_runtime,0.3333,0.8333,0.6667,1.0,0.6667,0.0,0.5933
league_water_core_reference,0.5,0.5,0.8333,0.6667,0.6667,1.0,0.68
water_basic_density_v1,0.8333,0.6667,0.6667,0.5,1.0,0.3333,0.68
effect_loop_exit_guard_v1,0.6667,0.5,0.5,0.3333,0.5,—,0.5152
league_mega_charizard_x_burst,1.0,0.8333,0.5,0.5,0.6667,0.6667,0.7067
league_raging_bolt_ogerpon,0.0,0.0,0.0,0.0,0.0,0.0,0.0
