our_deck \ subfamily (win_rate),metal_ex_zacian_ramp,water_kyogre_abomasnow_maxbelt,mega_lucario_ex_tempo,mega_kangaskhan_energy_stack,dragapult_ex,lightning_bellibolt,weighted_meta_score
league_water_core_reference,0.3333,0.5,0.8333,1.0,—,—,0.6403
league_water_anti_disruption_pivot_v1,0.5,0.5,0.8333,0.3333,—,—,0.5789
league_dragapult_v1_search_only,0.8333,1.0,0.8333,0.6667,—,—,0.8509
league_dragapult_v1_draw_only,1.0,0.6667,0.8333,0.6667,—,—,0.807
league_mega_charizard_x_burst,1.0,0.8333,0.1667,0.5,—,—,0.614
league_raging_bolt_ogerpon,0.0,0.0,0.0,0.0,—,—,0.0
